"Report Date","Time Scrapped","Part No","Part Type","Material","Serial No","Operation","Quantity","Weight","Scrap Reason","Workcenter","Location","Cavity Code","Coordinate","Unit Cost","Extended Cost","Note"
"3/17/2026","3:56 PM","9-084-016-371","MAG - FULL INSTRUMENT PANELS > 15 LBS",,"MLT8010776","Vision System Inspection (FG)","1","13.38","D04-Crack","V Honda Odyssey IP 371","V Honda Odyssey IP 371",,,"$96.17","$96.17",
"3/17/2026","3:58 PM","9-073-022-461W","TRANSFER CASES",,"MLT8010777","Die Cast Part Shot","1","10.48","D01-Start-up Scrap","DCM A2 116","Plant B Storage",,,"$37.01","$37.01","8"
"3/17/2026","4:57 PM","9-176-022-424","TRANSFER CASES",,"MLT8010688","Leak Test FG","5","39.70","D25-Leaker","LT-CD6 Transit Cover 215","Trailer Dock B13",,,"$49.99","$249.96",
"3/17/2026","5:00 PM","9-073-022-463","TRANSFER CASES",,"MLT8010814","Leak Test FG","15","97.80","D04-Crack","LT-P702 Cover 214","Zone 2",,,"$32.69","$490.30",
"3/17/2026","5:00 PM","9-073-022-463","TRANSFER CASES",,"MLT8010814","Leak Test FG","5","32.60","D25-Leaker","LT-P702 Cover 214","Zone 2",,,"$32.69","$163.43",
"3/17/2026","5:00 PM","9-073-022-463","TRANSFER CASES",,"MLT8010814","Leak Test FG","4","26.08","M01-Porosity","LT-P702 Cover 214","Zone 2",,,"$32.69","$130.75",
"3/17/2026","5:00 PM","9-073-022-463","TRANSFER CASES",,"MLT8010814","Leak Test FG","1","6.52","D09-Missing Feature(s)","LT-P702 Cover 214","Zone 2",,,"$32.69","$32.69",
"3/17/2026","5:01 PM","9-072-022-422W","TRANSFER CASES",,"MLT8010765","Die Cast Part Shot","1","3.97","D01-Start-up Scrap","DCM A5 116","CD6 Exp Cover Wip",,,"$16.89","$16.89","cav 7"
"3/17/2026","5:01 PM","9-072-022-422W","TRANSFER CASES",,"MLT8010745","Die Cast Part Shot","1","3.97","D01-Start-up Scrap","DCM A5 116","Trailer Dock C26",,,"$16.89","$16.89","cav 8"
"3/17/2026","5:01 PM","9-073-022-463","TRANSFER CASES",,"MLT8010814","Leak Test FG","3","19.56","D15-Sinks","LT-P702 Cover 214","Zone 2",,,"$32.69","$98.06",
"3/17/2026","5:01 PM","9-072-022-422W","TRANSFER CASES",,"MLT8010765","Die Cast Part Shot","3","11.92","D15-Sinks","DCM A5 116","CD6 Exp Cover Wip",,,"$16.89","$50.68","cav 7"
"3/17/2026","5:01 PM","9-073-022-463","TRANSFER CASES",,"MLT8010814","Leak Test FG","2","13.04","M03-Handling Damage","LT-P702 Cover 214","Zone 2",,,"$32.69","$65.37",
"3/17/2026","5:02 PM","9-073-022-461W","TRANSFER CASES",,"MLT8010845","Die Cast Part Shot","1","10.48","D41-Etched Barcode","DCM W2 121","Trailer Dock E4",,,"$37.01","$37.01",
"3/17/2026","5:05 PM","9-081-015-464","MAG - FULL INSTRUMENT PANELS > 15 LBS",,"MLT8010850","Cell Assembly (Final)","1","13.98","D04-Crack","KIRA 03","V Honda MDX IP 296",,,"$71.46","$71.46",
"3/17/2026","5:21 PM","9-073-022-461M","TRANSFER CASES",,"MLT8010832","Machining Pierce Part (Final)","4","42.40","M06-Machine Alarm","CNC Makino14 214","Plant B Makino Conveyor",,,"$41.10","$164.39",
"3/17/2026","5:25 PM","9-050-010-485","MAG - BRACKETS",,"MLT8010758","Cell Assembly FG","1","3.33","D15-Sinks","AV T1XX BRKT 248","Dock-SH-C32",,,"$27.99","$27.99",
"3/17/2026","5:35 PM","9-050-010-485","MAG - BRACKETS",,"MLT8010758","Cell Assembly FG","2","6.65","O07-CMM Rejection","AV T1XX BRKT 248","Dock-SH-C32",,,"$27.99","$55.97",
"3/17/2026","5:35 PM","9-050-010-485","MAG - BRACKETS",,"MLT8010758","Cell Assembly FG","1","3.33","M02-Cracked at Machining","AV T1XX BRKT 248","Dock-SH-C32",,,"$27.99","$27.99",
"3/17/2026","5:45 PM","9-176-022-424W","TRANSFER CASES",,"MLT8010731","Die Cast Part Shot","2","15.83","D01-Start-up Scrap","DCM B7 112","Plant C Storage",,,"$36.70","$73.41","1"
"3/17/2026","5:49 PM","9-050-010-485","MAG - BRACKETS",,"MLT8010758","Cell Assembly FG","1","3.33","D9999 - Damaged Crucible Metal Loss","AV T1XX BRKT 248","Dock-SH-C32",,,"$27.99","$27.99",
"3/17/2026","5:57 PM","9-084-016-371W","MAG - FULL INSTRUMENT PANELS > 15 LBS",,"MLT8010475","Die Cast Part Shot","6","80.26","D04-Crack","KIRA 07","KIRA 07",,,"$54.18","$325.09","FO approved"
"3/17/2026","5:58 PM","9-084-016-371","MAG - FULL INSTRUMENT PANELS > 15 LBS",,"MLT8010896","Machining Pierce Part (Final)","3","40.13","M06-Machine Alarm","KIRA 08","KIRA 08",,,"$64.12","$192.37",
"3/17/2026","5:59 PM","9-084-016-371W","MAG - FULL INSTRUMENT PANELS > 15 LBS",,"MLT8009841","Die Cast Part Shot","6","80.26","D04-Crack","KIRA 08","KIRA 08",,,"$54.18","$325.09","FO approved"
"3/17/2026","6:01 PM","9-073-022-461W","TRANSFER CASES",,"MLT8010906","Die Cast Part Shot","1","10.48","D04-Crack","DCM W2 121","Plant B Storage",,,"$37.01","$37.01",
"3/17/2026","6:02 PM","9-073-022-463W","TRANSFER CASES",,"MLT8010909","Die Cast Part Shot","1","6.52","D01-Start-up Scrap","DCM A7 116","WIP Makino 1-2",,,"$22.14","$22.14","Cav 9"
"3/17/2026","6:02 PM","9-073-022-463W","TRANSFER CASES",,"MLT8010908","Die Cast Part Shot","1","6.52","D01-Start-up Scrap","DCM A7 116","Plant B Storage",,,"$22.14","$22.14","Cav 10"
"3/17/2026","6:49 PM","9-073-022-461W","TRANSFER CASES",,"MLT8010963","Die Cast Part Shot","5","52.38","D04-Crack","DCM W2 121","Plant B Storage",,,"$37.01","$185.03",
"3/17/2026","6:57 PM","9-073-022-463","TRANSFER CASES",,"MLT8010957","Leak Test FG","3","19.56","D25-Leaker","LT-P702 Cover 214","Zone 2",,,"$32.69","$98.06",
"3/17/2026","6:57 PM","9-073-022-463","TRANSFER CASES",,"MLT8010957","Leak Test FG","1","6.52","D04-Crack","LT-P702 Cover 214","Zone 2",,,"$32.69","$32.69",
"3/17/2026","6:58 PM","9-073-022-463","TRANSFER CASES",,"MLT8010957","Leak Test FG","1","6.52","M01-Porosity","LT-P702 Cover 214","Zone 2",,,"$32.69","$32.69",
"3/17/2026","6:58 PM","9-072-022-422W","TRANSFER CASES",,"MLT8010765","Die Cast Part Shot","3","11.92","D15-Sinks","DCM A5 116","CD6 Exp Cover Wip",,,"$16.89","$50.68","cav 7"
"3/17/2026","6:58 PM","9-073-022-492W","TRANSFER CASES",,"MLT8010940","Die Cast Part Shot","2","15.28","D16-Biscuit Size","DCM A3 116","Trailer Dock C24",,,"$32.86","$65.72",
"3/17/2026","7:01 PM","9-073-022-463W","TRANSFER CASES",,"MLT8010984","Die Cast Part Shot","2","13.04","D41-Etched Barcode","DCM A7 116","WIP Makino 1-2",,,"$22.14","$44.29","Cav 9"
"3/17/2026","7:02 PM","9-073-022-461W","TRANSFER CASES",,"MLT8010985","Die Cast Part Shot","1","10.48","D04-Crack","DCM W2 121","Zone 2",,,"$37.01","$37.01",
"3/17/2026","7:05 PM","9-073-022-461W","TRANSFER CASES",,"MLT8010986","Die Cast Part Shot","10","104.75","D01-Start-up Scrap","DCM A1 116","Plant B Storage",,,"$37.01","$370.05",
"3/17/2026","7:12 PM","9-032-015-337W","MAG - FULL INSTRUMENT PANELS > 15 LBS",,"MLT8010769","Die Cast Part Shot","3","33.00","D01-Start-up Scrap","DCM A8 118","MA WK/WD 203",,,"$41.36","$124.09",
"3/17/2026","7:39 PM","9-073-022-461W","TRANSFER CASES",,"MLT8010985","Die Cast Part Shot","2","20.95","D04-Crack","DCM W2 121","Zone 2",,,"$37.01","$74.01",
"3/17/2026","8:02 PM","9-073-022-461W","TRANSFER CASES",,"MLT8011038","Die Cast Part Shot","5","52.38","D04-Crack","DCM W2 121","Zone 2",,,"$37.01","$185.03",
"3/17/2026","8:09 PM","9-072-022-422","TRANSFER CASES",,"MLT8011049","Leak Test FG","7","24.78","D25-Leaker","LT-CD6 Explorer Cover 215","Zone 2",,,"$25.96","$181.69",
"3/17/2026","8:09 PM","9-072-022-422","TRANSFER CASES",,"MLT8011049","Leak Test FG","2","7.08","O10 - Die Cast Test Part","LT-CD6 Explorer Cover 215","Zone 2",,,"$25.96","$51.91",
"3/17/2026","8:09 PM","9-072-022-422","TRANSFER CASES",,"MLT8011049","Leak Test FG","1","3.54","M04-Non-Cleanup","LT-CD6 Explorer Cover 215","Zone 2",,,"$25.96","$25.96",
"3/17/2026","8:09 PM","9-072-022-422","TRANSFER CASES",,"MLT8011049","Leak Test FG","1","3.54","M01-Porosity","LT-CD6 Explorer Cover 215","Zone 2",,,"$25.96","$25.96",
"3/17/2026","8:09 PM","9-081-015-464IP","MAG - FULL INSTRUMENT PANELS > 15 LBS",,"MLT7884910","Die Cast Part Shot","24","324.24","O09-Inventory Adjustment","DCM E2 120","Cycle Retire",,,"$54.91","$1,317.78","parts OOS, pending further review by QE
reworked for SC2 & SC4 flash
parts scrapped but not scrapped in plex"
"3/17/2026","8:09 PM","9-084-016-371","MAG - FULL INSTRUMENT PANELS > 15 LBS",,"MLT7976081","Vision System Inspection (FG)","20","267.52","O09-Inventory Adjustment","V Honda Odyssey IP 371","Cycle Retire",,,"$96.17","$1,923.35","All have damage to LA2. further review pending by QE/QT
rack not locate doing cycle count"
